ID; Date; type; name; number; cost; totCost;;;;;;
54;20121025;Еда;Сметана;1.0;6.85;6.85;;;;;;
55;20121025;Хоз.Товары;Стопка стеклянная;1.0;2.99;2.99;;;;;;
56;20121025;Хоз.Товары;Судок стеклянный;1.0;100.0;100.0;;;;;;
57;20121025;Еда;Творог;1.61;40.7;65.52;;;;;;
58;20121025;Еда;Уксус 250г;1.0;14.99;14.99;;;;;;
59;20121025;Еда;Хлеб украинский;1.0;1.95;1.95;;;;;;
60;20121025;Хоз.Товары;Чашки;2.0;15.0;30.0;;;;;;
61;20121029;Еда;Масло оливковое;1.0;91.84;91.84;;;;;;
62;20121029;Еда;Яйца;10.0;1.0;10.0;;;;;;
63;20121030;Электроника;Аккумуляторы АА;8.0;25.0;200.0;;;;;;
64;20121030;Еда;Огурцы;1.0;12.75;12.75;;;;;;
65;20121030;Еда;Помидоры;1.0;10.0;10.0;;;;;;
66;20121108;Снаряжение;Велосипед с мелочами;1.0;5300.0;5300.0;;;;;;
67;20121108;Электроника;Аккумулятор BP511;1.0;100.0;100.0;;;;;;
68;20121108;Электроника;Пленка защитная экрана;2.0;20.0;40.0;;;;;;
69;20121109;Еда;Творог;1.65;35.0;57.75;;;;;;
70;20121109;Еда;Сельдерей;2.0;2.25;4.5;;;;;;
71;20121109;Еда;Редька зеленая;3.0;2.0;6.0;;;;;;
72;20121109;Еда;Яйца;10.0;1.1;11.0;;;;;;
74;20121109;Хоз.Товары;Точилка ножа;1.0;6.0;6.0;;;;;;
75;20121109;Прочее;Концерт в доме органной музыки;1.0;50.0;50.0;;;;;;
76;20121109;Прочее;Концерт в доме органной музыки;1.0;70.0;70.0;;;;;;
77;20121108;Электроника;Аккумулятор BP511;1.0;100.0;100.0;;;;;;
78;20121108;Электроника;Пленка защитная экрана;2.0;20.0;40.0;;;;;;
79;20121109;Еда;Творог;1.65;35.0;57.75;;;;;;
80;20121109;Еда;Сельдерей;2.0;2.25;4.5;;;;;;
81;20121109;Еда;Редька зеленая;3.0;2.0;6.0;;;;;;
82;20121109;Еда;Яйца;10.0;1.1;11.0;;;;;;
83;20121109;Хоз.Товары;Точилка ножа;1.0;6.0;6.0;;;;;;
84;20121109;Прочее;Концерт в доме органной музыки;1.0;50.0;50.0;;;;;;
85;20121109;Прочее;Концерт в доме органной музыки;1.0;70.0;70.0;;;;;;
86;20121111;Прочее;Подарок ДР;1.0;100.0;100.0;;;;;;
87;20121112;Еда;Орехи и сухофрукты;1.0;315.0;315.0;;;;;;
88;20121112;Еда;Хлеб заварной;0.5;9.0;4.5;;;;;;
89;20121112;Еда;бананы;1.0;18.05;18.05;;;;;;
90;20121112;Еда;Сыр Бри;1.0;21.74;21.74;;;;;;
91;20121112;Прочее;Презервативы;1.0;15.6;15.6;;;;;;
92;20121112;Прочее;Кафе;1.0;200.0;200.0;;;;;;
93;20121112;Еда;Гречка;2.0;10.5;21.094;20121101;Еда;Капуста;1.0;5.6;5.6
94;20121113;Еда;Куриное филе;1.0;41.89;41.89;;;;;;
95;20121113;Еда;Куриные бедрышки;1.0;32.71;32.71;;;;;;
96;20121114;Еда;Сыр Гауда;0.2;65.0;13.0;;;;;;
97;20121115;Еда;Виноград;2.65;20.0;53.0;;;;;;
98;20121115;Еда;Творог;1.5;30.0;45.0;;;;;;
99;20121115;Еда;Яблоки;7.0;1.35;9.45;;;;;;
100;20121116;Прочее;Кафе;1.0;140.0;140.0;;;;;;
101;20121116;Снаряжение;Гантель;1.0;621.0;621.0;;;;;;
